Year,Date,Product,Overall Range Min,Overall Range Max,Common Price
2021,2021-08-12,Gasoline (RON95),46.75,64.85,57.27
2021,2021-08-12,Gasoline (RON91),45.75,63.85,54.96
2021,2021-08-12,Diesel,37.65,48.1,44.39
2021,2021-08-12,Diesel Plus,41.5,50.57,47.13
2021,2021-08-12,Kerosene,47.24,56.59,
2021,2021-08-19,Gasoline (RON97/100),52.45,66.6,62.33
2021,2021-08-19,Gasoline (RON95),47.35,64.85,57.27
2021,2021-08-19,Gasoline (RON91),46.35,63.85,54.96
2021,2021-08-19,Diesel,37.35,47.8,44.26
2021,2021-08-19,Diesel Plus,41.2,50.27,46.74
2021,2021-08-19,Kerosene,46.84,56.19,
2021,2021-08-26,Gasoline (RON97/100),51.65,65.8,60.64
2021,2021-08-26,Gasoline (RON95),46.6,66.45,56.17
2021,2021-08-26,Gasoline (RON91),45.8,63.05,55.39
2021,2021-08-26,Diesel,36.6,47.22,43.35
2021,2021-08-26,Diesel Plus,42.0,49.52,47.99
2021,2021-08-26,Kerosene,46.35,55.29,
2021,2021-12-10,Gasoline (RON97/100),52.25,68.8,
2021,2021-12-10,Gasoline (RON95),49.35,66.79,57.1
2021,2021-12-10,Gasoline (RON91),48.5,65.73,56.65
2021,2021-12-10,Diesel,40.95,50.72,47.3
2021,2021-12-10,Diesel Plus,46.7,53.88,51.69
2021,2021-12-10,Kerosene,49.13,58.34,57.95
2021,2021-12-16,Gasoline (RON97/100),53.85,70.4,
2021,2021-12-16,Gasoline (RON95),50.9,66.1,59.74
2021,2021-12-16,Gasoline (RON91),49.9,64.85,59.51
2021,2021-12-16,Diesel,42.0,52.07,48.58
2021,2021-12-16,Diesel Plus,48.05,55.23,53.04
2021,2021-12-16,Kerosene,50.33,59.54,57.95
2021,2021-12-21,Gasoline (RON97/100),54.55,70.95,
2021,2021-12-21,Gasoline (RON95),50.9,66.65,60.29
2021,2021-12-21,Gasoline (RON91),2.68,65.4,60.06
2021,2021-12-21,Diesel,41.9,52.62,48.55
2021,2021-12-21,Diesel Plus,48.6,55.78,50.7
2021,2021-12-21,Kerosene,50.73,60.24,58.65
2021,2021-02-11,Gasoline (RON97/100),46.2,59.46,
2021,2021-02-11,Gasoline (RON95),38.85,55.1,49.98
2021,2021-02-11,Gasoline (RON91),37.7,57.46,51.08
2021,2021-02-11,Diesel,31.1,44.22,38.59
2021,2021-02-11,Diesel Plus,34.9,43.0,42.0
2021,2021-02-11,Kerosene,39.45,52.95,
2021,2021-02-18,Gasoline (RON97/100),46.85,60.21,53.08
2021,2021-02-18,Gasoline (RON95),38.85,55.67,49.72
2021,2021-02-18,Gasoline (RON91),37.7,58.21,50.92
2021,2021-02-18,Diesel,32.35,45.47,38.59
2021,2021-02-18,Diesel Plus,34.9,44.25,42.08
2021,2021-02-18,Kerosene,40.45,54.05,
2021,2021-02-25,Gasoline (RON97/100),48.05,61.41,54.74
2021,2021-02-25,Gasoline (RON95),40.5,56.87,50.59
2021,2021-02-25,Gasoline (RON91),39.65,59.41,49.74
2021,2021-02-25,Diesel,33.5,46.42,38.67
2021,2021-02-25,Diesel Plus,36.15,44.86,43.03
2021,2021-02-25,Kerosene,40.55,54.95,
2021,2021-07-08,Gasoline (RON97/100),53.65,65.15,61.43
2021,2021-07-08,Gasoline (RON95),44.75,63.45,56.24
2021,2021-07-08,Gasoline (RON91),44.25,63.65,54.57
2021,2021-07-08,Diesel,37.65,52.54,44.13
2021,2021-07-08,Diesel Plus,42.15,50.59,48.09
2021,2021-07-08,Kerosene,44.14,56.24,
2021,2021-07-15,Gasoline (RON97/100),54.8,66.85,62.58
2021,2021-07-15,Gasoline (RON95),46.35,65.1,59.35
2021,2021-07-15,Gasoline (RON91),45.55,64.1,57.28
2021,2021-07-15,Diesel,37.85,52.54,44.86
2021,2021-07-15,Diesel Plus,42.25,50.98,49.24
2021,2021-07-15,Kerosene,47.54,56.89,
2021,2021-07-22,Gasoline (RON97/100),52.7,66.95,62.68
2021,2021-07-22,Gasoline (RON95),46.35,65.2,58.67
2021,2021-07-22,Gasoline (RON91),45.55,64.2,56.36
2021,2021-07-22,Diesel,37.8,48.68,45.04
2021,2021-07-22,Diesel Plus,42.85,51.25,49.54
2021,2021-07-22,Kerosene,47.84,57.19,
2021,2021-07-28,Gasoline (RON97/100),54.15,66.2,61.93
2021,2021-07-28,Gasoline (RON95),46.35,64.45,56.87
2021,2021-07-28,Gasoline (RON91),45.35,63.45,54.56
2021,2021-07-28,Diesel,37.55,48.0,44.98
2021,2021-07-28,Diesel Plus,42.8,50.47,47.96
2021,2021-07-28,Kerosene,47.24,56.59,
2021,2021-07-01,Gasoline (RON97/100),53.05,65.1,60.83
2021,2021-07-01,Gasoline (RON95),44.09,63.35,56.92
2021,2021-07-01,Gasoline (RON91),43.59,63.05,55.08
2021,2021-07-01,Diesel,36.5,52.44,44.03
2021,2021-07-01,Diesel Plus,41.5,50.49,48.54
2021,2021-07-01,Kerosene,46.54,56.2,
2021,2021-06-03,Gasoline (RON97/100),50.6,62.97,58.38
2021,2021-06-03,Gasoline (RON95),41.2,60.97,55.26
2021,2021-06-03,Gasoline (RON91),40.7,60.6,54.33
2021,2021-06-03,Diesel,34.6,50.14,42.0
2021,2021-06-03,Diesel Plus,39.45,48.55,46.24
2021,2021-06-03,Kerosene,44.39,53.99,
2021,2021-06-10,Gasoline (RON97/100),50.8,63.17,58.58
2021,2021-06-10,Gasoline (RON95),41.7,61.17,52.0
2021,2021-06-10,Gasoline (RON91),41.2,60.8,51.6
2021,2021-06-10,Diesel,34.85,50.64,41.16
2021,2021-06-10,Diesel Plus,39.85,49.1,
2021,2021-06-10,Kerosene,45.24,54.59,
2021,2021-06-17,Gasoline (RON97/100),51.3,63.35,59.08
2021,2021-06-17,Gasoline (RON95),43.45,61.6,54.66
2021,2021-06-17,Gasoline (RON91),42.95,61.3,53.06
2021,2021-06-17,Diesel,36.4,51.04,42.86
2021,2021-06-17,Diesel Plus,40.25,49.14,46.62
2021,2021-06-17,Kerosene,45.54,54.89,45.95
2021,2021-06-24,Gasoline (RON97/100),52.05,64.1,59.83
2021,2021-06-24,Gasoline (RON95),44.15,62.35,52.84
2021,2021-06-24,Gasoline (RON91),43.15,62.05,54.08
2021,2021-06-24,Diesel,36.5,51.74,42.59
2021,2021-06-24,Diesel Plus,40.8,49.84,47.89
2021,2021-06-24,Kerosene,45.84,55.59,
2021,2021-03-04,Gasoline (RON97/100),49.05,62.42,55.74
2021,2021-03-04,Gasoline (RON95),40.5,57.87,51.63
2021,2021-03-04,Gasoline (RON91),39.85,60.41,50.78
2021,2021-03-04,Diesel,33.85,47.27,39.54
2021,2021-03-04,Diesel Plus,37.1,45.71,43.88
2021,2021-03-04,Kerosene,41.25,55.65,
2021,2021-03-11,Gasoline (RON97/100),48.95,59.77,55.64
2021,2021-03-11,Gasoline (RON95),41.5,57.77,51.82
2021,2021-03-11,Gasoline (RON91),40.55,57.4,51.31
2021,2021-03-11,Diesel,34.0,44.55,40.81
2021,2021-03-11,Diesel Plus,37.6,45.36,43.53
2021,2021-03-11,Kerosene,40.7,55.1,
2021,2021-03-18,Gasoline (RON97/100),48.65,61.02,56.43
2021,2021-03-18,Gasoline (RON95),41.5,59.02,51.74
2021,2021-03-18,Gasoline (RON91),41.0,58.65,51.58
2021,2021-03-18,Diesel,34.8,45.45,41.14
2021,2021-03-18,Diesel Plus,37.6,46.7,43.16
2021,2021-03-18,Kerosene,41.55,55.95,
2021,2021-03-25,Gasoline (RON97/100),48.65,61.02,57.14
2021,2021-03-25,Gasoline (RON95),41.5,59.02,51.69
2021,2021-03-25,Gasoline (RON91),41.0,58.65,51.76
2021,2021-03-25,Diesel,34.79,45.1,40.76
2021,2021-03-25,Diesel Plus,38.5,46.35,42.81
2021,2021-03-25,Kerosene,43.44,55.5,
2021,2021-05-06,Gasoline (RON97/100),49.1,61.47,57.59
2021,2021-05-06,Gasoline (RON95),40.7,59.8,53.2
2021,2021-05-06,Gasoline (RON91),40.2,59.1,50.46
2021,2021-05-06,Diesel,33.85,48.79,40.45
2021,2021-05-06,Diesel Plus,37.6,47.0,44.69
2021,2021-05-06,Kerosene,43.84,53.19,
2021,2021-05-13,Gasoline (RON97/100),49.85,62.22,57.63
2021,2021-05-13,Gasoline (RON95),41.2,60.22,53.24
2021,2021-05-13,Gasoline (RON91),40.7,59.85,52.76
2021,2021-05-13,Diesel,34.05,49.49,40.13
2021,2021-05-13,Diesel Plus,38.3,47.7,45.39
2021,2021-05-13,Kerosene,44.54,53.89,
2021,2021-05-20,Gasoline (RON97/100),49.65,62.02,57.43
2021,2021-05-20,Gasoline (RON95),41.2,60.02,53.74
2021,2021-05-20,Gasoline (RON91),40.7,59.65,53.6
2021,2021-05-20,Diesel,34.6,49.69,41.35
2021,2021-05-20,Diesel Plus,39.0,47.9,45.59
2021,2021-05-20,Kerosene,44.14,53.89,
2021,2021-05-27,Gasoline (RON97/100),49.8,62.17,57.58
2021,2021-05-27,Gasoline (RON95),41.2,60.17,54.46
2021,2021-05-27,Gasoline (RON91),40.7,59.8,53.97
2021,2021-05-27,Diesel,34.6,49.74,41.6
2021,2021-05-27,Diesel Plus,39.2,48.15,45.37
2021,2021-05-27,Kerosene,44.39,53.74,
2021,2021-11-18,Gasoline (RON97/100),56.6,73.15,65.65
2021,2021-11-18,Gasoline (RON95),53.0,71.14,63.07
2021,2021-11-18,Gasoline (RON91),52.0,70.08,63.87
2021,2021-11-18,Diesel,45.0,55.17,50.5
2021,2021-11-18,Diesel Plus,49.3,58.33,56.14
2021,2021-11-18,Kerosene,53.09,62.84,60.75
2021,2021-11-25,Gasoline (RON97/100),55.75,72.3,64.8
2021,2021-11-25,Gasoline (RON95),52.15,70.29,60.14
2021,2021-11-25,Gasoline (RON91),51.15,69.23,60.15
2021,2021-11-25,Diesel,44.21,53.97,49.01
2021,2021-11-25,Diesel Plus,48.1,57.13,54.94
2021,2021-11-25,Kerosene,52.33,61.54,59.45
2021,2021-11-30,Gasoline (RON97/100),54.65,71.2,
2021,2021-11-30,Gasoline (RON95),52.15,69.19,59.5
2021,2021-11-30,Gasoline (RON91),51.15,68.13,59.05
2021,2021-11-30,Diesel,43.61,53.37,49.79
2021,2021-11-30,Diesel Plus,49.47,56.53,54.34
2021,2021-11-30,Kerosene,51.83,61.04,58.95
2021,2021-11-30,Gasoline (RON97/100),54.65,71.2,
2021,2021-11-30,Gasoline (RON95),52.15,69.19,59.5
2021,2021-11-30,Gasoline (RON91),51.15,68.13,59.05
2021,2021-11-30,Diesel,43.61,53.37,49.79
2021,2021-11-30,Diesel Plus,49.47,56.53,54.34
2021,2021-11-30,Kerosene,51.83,61.04,58.95
2021,2021-10-07,Gasoline (RON97/100),53.1,69.58,
2021,2021-10-07,Gasoline (RON95),49.2,67.58,58.11
2021,2021-10-07,Gasoline (RON91),48.45,66.58,57.74
2021,2021-10-07,Diesel,42.15,52.67,47.41
2021,2021-10-07,Diesel Plus,44.75,55.27,51.77
2021,2021-10-07,Kerosene,51.24,55.85,
2021,2021-10-14,Gasoline (RON97/100),54.5,70.88,
2021,2021-10-14,Gasoline (RON95),49.2,68.88,61.61
2021,2021-10-14,Gasoline (RON91),48.45,67.88,61.22
2021,2021-10-14,Diesel,42.5,54.17,49.05
2021,2021-10-14,Diesel Plus,46.8,56.77,53.27
2021,2021-10-14,Kerosene,52.29,57.9,
2021,2021-09-09,Gasoline (RON97/100),52.55,66.38,61.54
2021,2021-09-09,Gasoline (RON95),47.5,64.38,56.5
2021,2021-09-09,Gasoline (RON91),43.0,63.38,56.42
2021,2021-09-09,Diesel,38.45,49.9,44.82
2021,2021-09-09,Diesel Plus,41.85,51.07,49.54
2021,2021-09-09,Kerosene,47.65,56.59,
2021,2021-09-23,Gasoline (RON97/100),51.85,67.58,
2021,2021-09-23,Gasoline (RON95),47.85,65.58,56.91
2021,2021-09-23,Gasoline (RON91),44.2,64.58,56.08
2021,2021-09-23,Diesel,38.45,49.72,45.26
2021,2021-09-23,Diesel Plus,43.35,52.22,48.82
2021,2021-09-23,Kerosene,47.84,54.0,
2021,2021-09-30,Gasoline (RON97/100),51.65,68.13,
2021,2021-09-30,Gasoline (RON95),48.65,66.13,57.23
2021,2021-09-30,Gasoline (RON91),47.65,65.13,58.17
2021,2021-09-30,Diesel,40.0,50.62,47.14
2021,2021-09-30,Diesel Plus,43.75,53.22,50.5
2021,2021-09-30,Kerosene,49.6,54.85,
2021,2021-09-02,Gasoline (RON97/100),52.05,65.88,61.04
2021,2021-09-02,Gasoline (RON95),46.6,63.88,55.01
2021,2021-09-02,Gasoline (RON91),45.8,62.88,55.22
2021,2021-09-02,Diesel,37.55,47.82,43.77
2021,2021-09-02,Diesel Plus,41.25,50.12,48.79
2021,2021-09-02,Kerosene,47.05,55.99,
2021,2021-09-16,Gasoline (RON97/100),51.05,66.78,
2021,2021-09-16,Gasoline (RON95),47.85,64.78,57.09
2021,2021-09-16,Gasoline (RON91),46.85,63.78,56.01
2021,2021-09-16,Diesel,38.45,49.12,45.38
2021,2021-09-16,Diesel Plus,43.0,51.42,48.02
2021,2021-09-16,Kerosene,47.8,56.74,
2021,2021-02-04,Gasoline (RON97/100),45.35,58.61,56.07
2021,2021-02-04,Gasoline (RON95),38.6,54.97,50.03
2021,2021-02-04,Gasoline (RON91),37.2,56.61,48.38
2021,2021-02-04,Diesel,30.8,43.12,38.14
2021,2021-02-04,Diesel Plus,34.9,41.9,41.15
2021,2021-02-04,Kerosene,39.39,52.1,
2021,2021-01-06,Gasoline (RON97/100),43.4,56.66,52.87
2021,2021-01-06,Gasoline (RON95),35.8,53.91,48.94
2021,2021-01-06,Gasoline (RON91),35.25,54.66,47.72
2021,2021-01-06,Diesel,28.75,41.97,36.57
2021,2021-01-06,Diesel Plus,33.5,41.95,40.09
2021,2021-01-06,Kerosene,38.54,51.1,
2021,2021-01-14,Gasoline (RON97/100),44.25,57.51,53.72
2021,2021-01-14,Gasoline (RON95),37.2,54.76,50.18
2021,2021-01-14,Gasoline (RON91),35.7,55.51,49.56
2021,2021-01-14,Diesel,29.6,42.27,36.96
2021,2021-01-14,Diesel Plus,34.0,41.55,40.39
2021,2021-01-14,Kerosene,38.79,51.35,
2021,2021-01-21,Gasoline (RON97/100),45.25,58.51,54.43
2021,2021-01-21,Gasoline (RON95),38.0,55.76,51.85
2021,2021-01-21,Gasoline (RON91),36.6,56.51,50.17
2021,2021-01-21,Diesel,30.0,43.22,38.01
2021,2021-01-21,Diesel Plus,34.0,42.18,41.44
2021,2021-01-21,Kerosene,39.74,52.3,
2021,2021-01-28,Gasoline (RON97/100),45.1,58.36,54.28
2021,2021-01-28,Gasoline (RON95),38.6,54.72,51.88
2021,2021-01-28,Gasoline (RON91),37.2,56.36,49.81
2021,2021-01-28,Diesel,30.84,43.12,37.8
2021,2021-01-28,Diesel Plus,33.9,41.9,41.34
2021,2021-01-28,Kerosene,39.64,52.2,41.55
