YEAR,CIRCUMFERENCIAL AND RADIAL ROAD,NAME,CAR,PUJ,UV,TAXI,PUB,TRUCK,TRAILER,MC,TRICYCLE,TOTAL
2017,R4,SHAW BLVD.,"55,632","6,450","3,496","4,029",107,"1,054",126,"30,724",6,"101,624"
2017,R5,ORTIGAS AVE.,"71,102","12,054","9,344","3,723",877,"5,029",681,"50,769",376,"153,955"
2017,R6,MAGSAYSAY BLVD.,"56,261","5,952",59,"6,265",722,"2,859",336,"28,878","1,241","102,573"
2017,R6,AURORA BLVD.,"41,620","14,707","6,701","5,245",57,"3,674",712,"25,614",314,"98,644"
2017,R7,QUEZON AVE.,"113,905","6,868","12,791","15,840","1,217","3,664",244,"40,759",47,"195,335"
2017,R7,COMMONWEALTH AVE.,"139,951","15,687","13,165","14,400","5,475","7,822",518,"74,492","1,210","272,720"
2017,R8,A. BONIFACIO,"28,690","3,695",222,903,"1,494","9,278","3,915","11,938",650,"60,785"
2017,R9,RIZAL AVE.,"32,905","12,546",83,"2,685",492,"2,012",3,"29,449","1,565","81,740"
2017,R10,DEL PAN,"35,955","1,783",156,"3,538",73,"5,686","7,886","23,167","2,011","80,255"
2017,,MARCOS HIGHWAY,"90,287","14,261","4,532","5,165",133,"5,684",412,"42,019",169,"162,662"
2017,,MCARTHUR HIGHWAY,"29,446","8,752",25,"4,073","1,889","3,208",506,"34,852",206,"82,957"
2016,C1,RECTO,"26,154","13,454",,,690,703,13,"16,882","5,466","63,362"
2016,C2,MENDOZA,"51,410",46,,,276,"3,462",265,"21,845","1,247","78,551"
2016,C2,PRES. QUIRINO AVE.,"71,317","7,277",,,135,"7,075","2,358","28,669",651,"117,482"
2016,C3,ARANETA AVE.,"43,654","1,998",,,23,"4,135",599,"26,081","2,712","79,202"
2016,C4,EDSA,"278,657","2,723",,,"12,081",5.556,2,"65,757",5,"359,231"
2016,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"154,037",950,,,373,"12,411","1,101","49,277",6,"218,155"
2016,R1,ROXAS BLVD.,"133,664",130,,,714,926,"1,137","38,413",201,"175,185"
2016,R2,TAFT AVE.,"54,047","13,069",,,"3,575",543,6,"17,518","1,090","89,848"
2016,R3,SSH,"68,844",0,,,795,"5,550","1,633","23,033",68,"99,923"
2016,R4,SHAW BLVD.,"63,066","8,734",,,53,"1,480",175,"27,794",5,"101,307"
2016,R5,ORTIGAS AVE.,"88,628","15,557",,,881,"5,162",616,"41,958",623,"153,425"
2016,R6,MAGSAYSAY BLVD.,"59,550","5,677",,,638,"3,125",491,"24,426",872,"94,779"
2016,R6,AURORA BLVD.,"57,070","14,942",,,67,"2,358",37,"20,811",310,"95,595"
2016,R7,QUEZON AVE.,"140,311","9,056",,,"1,201","4,081",163,"31,720",579,"187,111"
2016,R7,COMMONWEALTH AVE.,"181,266","16,590",,,"5,683","6,837",271,"60,626",977,"272,250"
2016,R8,A. BONIFACIO,"28,739","4,888",,,"1,332","6,554","3,221","12,482",798,"58,014"
2016,R9,RIZAL AVE.,"29,734","13,420",,,428,"2,163",7,"28,538","2,000","76,290"
2016,R10,DEL PAN,"31,211","2,356",,,53,"4,989","8,290","20,181","2,932","70,012"
2016,,MARCOS HIGHWAY,"95,837","15,402",,,129,"5,431",439,"36,259",129,"153,626"
2016,,MCARTHUR HIGHWAY,"31,034","8,532",,,"2,168","2,732",288,"35,032",293,"80,079"
2015,C1,RECTO,"30,216","15,736",,,643,769,16,"19,220","3,906","70,506"
2015,C2,MENDOZA,"63,469",72,,,193,"4,007",506,"22,611",984,"91,842"
2015,C2,PRES. QUIRINO AVE.,"76,073","5,019",,,173,"6,421","3,070","28,541",527,"119,824"
2015,C3,ARANETA AVE.,"54,670","2,228",,,21,"4,393",528,"25,111","2,769","89,720"
2015,C4,EDSA,"284,436","2,944",,,"14,384","5,451",8,"60,432",20,"367,675"
2015,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"134,939",985,,,662,"10,458",922,"46,149",4,"194,119"
2015,R1,ROXAS BLVD.,"138,070",103,,,276,831,50,"33,827",38,"173,195"
2015,R2,TAFT AVE.,"56,378","15,885",,,"2,992",650,15,"14,683",582,"91,185"
2015,R3,SSH,"86,552",3,,,779,"7,184","3,921","28,095",33,"126,567"
2015,R4,SHAW BLVD.,"58,604","10,262",,,74,"1,603",164,"24,525",4,"95,236"
2015,R5,ORTIGAS AVE.,"73,293","9,706",,,914,"5,039",428,"32,044",9,"121,433"
2015,R6,MAGSAYSAY BLVD.,"56,971","13,220",,,729,"2,223",429,"25,129","1,107","99,808"
2015,R6,AURORA BLVD.,"55,978","16,592",,,73,"2,168",30,"18,168",697,"93,706"
2015,R7,QUEZON AVE.,"136,358","8,429",,,"1,400","4,337",329,"35,347",121,"186,321"
2015,R7,COMMONWEALTH AVE.,"169,329","17,113",,,"5,877","6,307",256,"59,423",890,"259,195"
2015,R8,A. BONIFACIO,"25,880","4,533",,,"1,524","6,736","2,867","14,498","1,859","57,897"
2015,R9,RIZAL AVE.,"29,017","13,205",,,298,"1,948",7,"23,341","2,579","70,395"
2015,R10,DEL PAN,NO DATA AVAILABLE,,,,,,,,,
2015,,MARCOS HIGHWAY,"112,020","17,171",,,95,"6,394",548,"36,609",178,"173,015"
2015,,MCARTHUR HIGHWAY,"36,702","10,012",,,"2,617","4,031",541,"27,734",533,"82,170"
