Year,Month,For Lifeline Customers,kWh Consumption,Total Bill
2011,5,FALSE,3000,11.7172
2011,5,FALSE,5000,11.7653
2011,6,TRUE,50,5.3612
2011,6,TRUE,70,6.8991
2011,6,TRUE,100,8.4203
2011,6,FALSE,200,10.547
2011,6,FALSE,300,10.9576
2011,6,FALSE,400,11.3667
2011,6,FALSE,500,12.1071
2011,6,FALSE,600,12.0973
2011,6,FALSE,700,12.0974
2011,6,FALSE,800,12.1038
2011,6,FALSE,900,12.1087
2011,6,FALSE,1000,12.1127
2011,6,FALSE,1500,12.1579
2011,6,FALSE,3000,12.2781
2011,6,FALSE,5000,12.3261
2011,7,TRUE,50,5.2422
2011,7,TRUE,70,6.7297
2011,7,TRUE,100,8.2005
2011,7,FALSE,200,10.2558
2011,7,FALSE,300,10.6664
2011,7,FALSE,400,11.0755
2011,7,FALSE,500,11.8158
2011,7,FALSE,600,11.806
2011,7,FALSE,700,11.8062
2011,7,FALSE,800,11.8125
2011,7,FALSE,900,11.8175
2011,7,FALSE,1000,11.8214
2011,7,FALSE,1500,11.8666
2011,7,FALSE,3000,11.9868
2011,7,FALSE,5000,12.0349
2011,8,TRUE,50,5.2425
2011,8,TRUE,70,6.7513
2011,8,TRUE,100,8.2433
2011,8,FALSE,200,10.3467
2011,8,FALSE,300,10.7572
2011,8,FALSE,400,11.1663
2011,8,FALSE,500,11.9067
2011,8,FALSE,600,11.8969
2011,8,FALSE,700,11.897
2011,8,FALSE,800,11.9034
2011,8,FALSE,900,11.9083
2011,8,FALSE,1000,11.9123
2011,8,FALSE,1500,11.9575
2011,8,FALSE,3000,12.0777
2011,8,FALSE,5000,12.1258
2011,9,TRUE,50,5.2766
2011,9,TRUE,70,6.7534
2011,9,TRUE,100,8.2134
2011,9,FALSE,200,10.2647
2011,9,FALSE,300,10.6753
2011,9,FALSE,400,11.0844
2011,9,FALSE,500,11.8248
2011,9,FALSE,600,11.815
2011,9,FALSE,700,11.8151
2011,9,FALSE,800,11.8215
2011,9,FALSE,900,11.8264
2011,9,FALSE,1000,11.8304
2011,9,FALSE,1500,11.8756
2011,9,FALSE,3000,11.9958
2011,9,FALSE,5000,12.0438
2011,10,TRUE,50,5.2828
2011,10,TRUE,70,6.7817
2011,10,TRUE,100,8.2657
2011,10,FALSE,200,10.3514
2011,10,FALSE,300,10.7105
2011,10,FALSE,400,11.0684
2011,10,FALSE,500,11.7166
2011,10,FALSE,600,11.7079
2011,10,FALSE,700,11.7089
2011,10,FALSE,800,11.7159
2011,10,FALSE,900,11.7213
2011,10,FALSE,1000,11.7257
2011,10,FALSE,1500,11.772
2011,10,FALSE,3000,11.8934
2011,10,FALSE,5000,11.942
2011,11,TRUE,50,5.5998
2011,11,TRUE,70,7.2048
2011,11,TRUE,100,8.795
2011,11,FALSE,200,11.0363
2011,11,FALSE,300,11.3953
2011,11,FALSE,400,11.7533
2011,11,FALSE,500,12.4014
2011,11,FALSE,600,12.3928
2011,11,FALSE,700,12.3938
2011,11,FALSE,800,12.4008
2011,11,FALSE,900,12.4062
2011,11,FALSE,1000,12.4105
2011,11,FALSE,1500,12.4569
2011,11,FALSE,3000,12.5783
2011,11,FALSE,5000,12.6268
2011,12,TRUE,50,5.4232
2011,12,TRUE,70,6.9722
2011,12,TRUE,100,8.5063
2011,12,FALSE,200,10.6691
2011,12,FALSE,300,11.0281
2011,12,FALSE,400,11.3861
2011,12,FALSE,500,12.0342
2011,12,FALSE,600,12.0256
2011,12,FALSE,700,12.0265
2011,12,FALSE,800,12.0335
2011,12,FALSE,900,12.039
2011,12,FALSE,1000,12.0433
2011,12,FALSE,1500,12.0897
2011,12,FALSE,3000,12.211
2011,12,FALSE,5000,12.2596
2012,1,TRUE,50,5.439
2012,1,TRUE,70,6.9821
2012,1,TRUE,100,8.5105
2012,1,FALSE,200,10.6732
2012,1,FALSE,300,11.0323
2012,1,FALSE,400,11.3902
2012,1,FALSE,500,12.0384
2012,1,FALSE,600,12.0297
2012,1,FALSE,700,12.0307
2012,1,FALSE,800,12.0377
2012,1,FALSE,900,12.0431
2012,1,FALSE,1000,12.0475
2012,1,FALSE,1500,12.0938
2012,1,FALSE,3000,12.2152
2012,1,FALSE,5000,12.2638
2012,2,TRUE,50,5.4413
2012,2,TRUE,70,6.9774
2012,2,TRUE,100,8.4988
2012,2,FALSE,200,10.6599
2012,2,FALSE,300,11.019
2012,2,FALSE,400,11.3769
2012,2,FALSE,500,12.0251
2012,2,FALSE,600,12.0164
2012,2,FALSE,700,12.0174
2012,2,FALSE,800,12.0244
2012,2,FALSE,900,12.0298
2012,2,FALSE,1000,12.0342
2012,2,FALSE,1500,12.0805
2012,2,FALSE,3000,12.2019
2012,2,FALSE,5000,12.2505
2012,3,TRUE,50,5.2711
2012,3,TRUE,70,6.7506
2012,3,TRUE,100,8.2152
2012,3,FALSE,200,10.2919
2012,3,FALSE,300,10.651
2012,3,FALSE,400,11.0089
2012,3,FALSE,500,11.6571
2012,3,FALSE,600,11.6484
2012,3,FALSE,700,11.6494
2012,3,FALSE,800,11.6564
2012,3,FALSE,900,11.6618
2012,3,FALSE,1000,11.6662
2012,3,FALSE,1500,11.7125
2012,3,FALSE,3000,11.8339
2012,3,FALSE,5000,11.8825
2012,4,TRUE,50,5.4982
2012,4,TRUE,70,7.0433
2012,4,TRUE,100,8.5736
2012,4,FALSE,200,10.7395
2012,4,FALSE,300,11.0985
2012,4,FALSE,400,11.4565
2012,4,FALSE,500,12.1046
2012,4,FALSE,600,12.096
2012,4,FALSE,700,12.097
2012,4,FALSE,800,12.1039
2012,4,FALSE,900,12.1094
2012,4,FALSE,1000,12.1137
2012,4,FALSE,1500,12.1601
2012,4,FALSE,3000,12.2815
2012,4,FALSE,5000,12.33
2012,5,TRUE,50,5.4791
2012,5,TRUE,70,7.0161
2012,5,TRUE,100,8.5383
2012,5,FALSE,200,10.6792
2012,5,FALSE,300,11.0382
2012,5,FALSE,400,11.3962
2012,5,FALSE,500,12.0443
2012,5,FALSE,600,12.0357
2012,5,FALSE,700,12.0366
2012,5,FALSE,800,12.0436
2012,5,FALSE,900,12.0491
2012,5,FALSE,1000,12.0534
2012,5,FALSE,1500,12.0998
2012,5,FALSE,3000,12.2212
2012,5,FALSE,5000,12.2697
2012,6,TRUE,50,5.8334
2012,6,TRUE,70,7.4823
2012,6,TRUE,100,9.1163
2012,6,FALSE,200,11.3861
2012,6,FALSE,300,11.7451
2012,6,FALSE,400,12.1031
2012,6,FALSE,500,12.7512
2012,6,FALSE,600,12.7426
2012,6,FALSE,700,12.7436
2012,6,FALSE,800,12.7506
2012,6,FALSE,900,12.756
2012,6,FALSE,1000,12.7603
2012,6,FALSE,1500,12.8067
2012,6,FALSE,3000,12.9281
2012,6,FALSE,5000,12.9766
2012,7,TRUE,50,6.1261
2012,7,TRUE,70,7.8628
2012,7,TRUE,100,9.5836
2012,7,FALSE,200,11.9728
2012,7,FALSE,300,12.3289
2012,7,FALSE,400,12.6854
2012,7,FALSE,500,13.3326
2012,7,FALSE,600,13.3234
2012,7,FALSE,700,13.324
2012,7,FALSE,800,13.3306
2012,7,FALSE,900,13.3358
2012,7,FALSE,1000,13.34
2012,7,FALSE,1500,13.3857
2012,7,FALSE,3000,13.5065
2012,7,FALSE,5000,13.5548
2012,8,TRUE,50,6.233
2012,8,TRUE,70,8.0178
2012,8,TRUE,100,9.7869
2012,8,FALSE,200,12.2698
2012,8,FALSE,300,12.6259
2012,8,FALSE,400,12.9824
2012,8,FALSE,500,13.6297
2012,8,FALSE,600,13.6204
2012,8,FALSE,700,13.621
2012,8,FALSE,800,13.6277
2012,8,FALSE,900,13.6329
2012,8,FALSE,1000,13.637
2012,8,FALSE,1500,13.6828
2012,8,FALSE,3000,13.8036
2012,8,FALSE,5000,13.8519
2012,9,TRUE,50,5.416
2012,9,TRUE,70,6.9226
2012,9,TRUE,100,8.4133
2012,9,FALSE,200,10.543
2012,9,FALSE,300,10.8991
2012,9,FALSE,400,11.2556
2012,9,FALSE,500,11.9028
2012,9,FALSE,600,11.8936
2012,9,FALSE,700,11.8941
2012,9,FALSE,800,11.9008
2012,9,FALSE,900,11.906
2012,9,FALSE,1000,11.9102
2012,9,FALSE,1500,11.9559
2012,9,FALSE,3000,12.0767
2012,9,FALSE,5000,12.125
2012,10,TRUE,50,5.4733
2012,10,TRUE,70,7.0079
2012,10,TRUE,100,8.5268
2012,10,FALSE,200,10.6615
2012,10,FALSE,300,11.0176
2012,10,FALSE,400,11.3741
2012,10,FALSE,500,12.0213
2012,10,FALSE,600,12.0121
2012,10,FALSE,700,12.0127
2012,10,FALSE,800,12.0193
2012,10,FALSE,900,12.0245
2012,10,FALSE,1000,12.0287
2012,10,FALSE,1500,12.0745
2012,10,FALSE,3000,12.1952
2012,10,FALSE,5000,12.2435
2012,11,TRUE,50,5.5676
2012,11,TRUE,70,7.144
2012,11,TRUE,100,8.7045
2012,11,FALSE,200,10.8985
2012,11,FALSE,300,11.2546
2012,11,FALSE,400,11.6111
2012,11,FALSE,500,12.2583
2012,11,FALSE,600,12.2491
2012,11,FALSE,700,12.2497
2012,11,FALSE,800,12.2563
2012,11,FALSE,900,12.2615
